,EVENT_ID,GAME_ID,PITCH_SEQ_TX,PIT_ID,INN_CT,RBI_CT,PA_BALL_CT,BAT_DEST_ID,EVENT_OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,BAT_HOME_ID,PIT_COUNT,SCORE_DIFF,TEAM_WINS
70,61,ANA200105200,BSFFFFX,valdi001,7,0,1,1,0,6,3,0,97,3,False
71,45,ANA200105200,BBX,sabac001,5,1,2,2,0,5,2,1,87,-3,False
72,47,ANA200105290,CBBBB,ortir002,6,0,4,1,0,2,2,0,96,0,False
73,64,ANA200105290,SBFC,milte001,7,0,1,0,1,2,3,1,95,1,False
74,46,ANA200105300,CBBBX,rappp001,7,0,3,0,1,0,2,0,93,-2,False
75,58,ANA200105310,FBBX,washj001,7,0,2,2,0,4,2,0,105,2,False
76,51,ANA200105310,CBFBBFFFFFB,thomb001,6,0,4,1,0,3,2,1,92,-1,False
77,59,ANA200106010,CX,suppj001,7,0,0,1,0,4,1,1,112,-3,False
78,61,ANA200106020,BCX,schos001,8,0,1,0,1,2,2,0,95,0,True
79,67,ANA200106020,FX,durbc001,8,1,0,1,0,2,2,1,137,0,False
80,65,ANA200106030,BCBSFBFB,ortir002,8,0,4,1,0,7,1,0,112,6,True
81,29,ANA200106030,X,suzum001,3,0,0,1,0,5,1,1,58,-4,False
82,56,ANA200106050,BFBX,washj001,7,0,2,0,2,7,1,0,100,6,True
83,43,ANA200106050,X,muldm001,5,0,0,1,0,7,0,1,90,-7,False
84,56,ANA200106060,CX,rappp001,8,0,0,1,0,1,2,0,99,-1,False
85,55,ANA200106060,CBBFX,hudst001,7,0,2,0,1,1,2,1,105,1,True
86,64,ANA200106070,X,schos001,8,0,0,0,1,6,3,0,86,3,True
87,49,ANA200106070,CBX,zitob001,6,1,1,1,0,0,3,1,84,3,False
88,49,ANA200106150,BX,ortir002,6,0,1,1,0,1,4,0,88,-3,False
89,78,ANA200106150,X,parkc002,8,0,0,1,0,2,6,1,109,4,True
90,63,ANA200106160,CCBFFX,washj001,8,0,1,0,1,5,3,0,87,2,False
91,43,ANA200106160,BBFFFS,adamt001,5,0,2,0,1,5,0,1,91,-5,False
92,49,ANA200106170,BCFX,rappp001,6,0,1,1,1,1,4,0,100,-3,False
93,45,ANA200106170,BFX,prokl001,5,0,1,0,1,1,4,1,107,3,False
94,73,ANA200106250,FBBSX,ortir002,7,0,2,1,1,11,5,0,110,6,True
95,40,ANA200106250,BBCX,rogek001,4,1,2,1,0,5,1,1,82,-4,False
96,43,ANA200106260,CFX,wisem001,6,0,0,1,0,1,1,0,92,0,False
97,69,ANA200106260,FSFFBBS,hellr001,9,0,2,0,1,1,1,1,120,0,False
98,65,ANA200106270,CX,washj001,8,0,0,1,1,0,2,0,122,-2,True
