,INN_CT,RBI_CT,PA_BALL_CT,EVENT_OUTS_CT,BAT_DEST_ID,SCORE_DIFF,PIT_COUNT
191,4,1,2,0,1,-2,83
192,7,0,0,1,0,2,99
193,5,0,2,1,0,0,95
194,6,0,0,1,0,-1,93
195,6,0,0,1,0,1,103
196,6,0,3,0,2,2,106
197,7,0,2,0,1,-7,107
198,6,2,1,0,1,2,110
199,8,0,0,1,1,-4,117
200,5,0,1,0,1,1,78
201,6,0,1,1,0,-7,92
202,6,0,0,1,0,-2,89
203,7,0,0,0,1,2,111
204,6,0,1,1,0,-1,99
205,7,0,2,0,2,1,99
206,7,0,2,1,0,2,86
207,5,0,1,1,0,-2,61
208,5,0,0,1,0,4,87
209,5,4,2,0,4,-4,98
210,6,0,0,1,0,-1,108
211,6,1,3,0,1,1,114
212,7,0,2,1,0,2,102
213,7,0,1,1,0,-2,121
214,7,0,1,1,0,0,106
215,7,0,0,2,0,0,105
216,5,0,1,1,0,-1,89
217,5,0,4,0,1,1,85
218,7,0,2,1,0,-1,95
219,6,0,3,1,0,1,92
220,6,0,0,0,2,-1,100
221,8,0,2,0,2,-5,102
222,4,2,0,0,1,5,76
223,5,0,0,1,0,1,93
224,6,0,1,1,0,2,77
225,7,1,3,0,1,-1,109
226,5,0,3,1,0,1,89
227,5,0,0,1,0,-4,112
228,5,0,2,0,1,4,99
229,7,0,2,2,0,-3,112
230,6,0,1,1,0,3,97
231,6,0,0,1,0,-3,121
232,5,0,1,0,3,4,80
233,7,0,0,1,0,-2,102
234,7,0,3,1,0,2,110
235,7,0,2,1,1,1,91
236,7,0,1,0,1,-1,85
237,5,0,1,1,0,3,91
238,7,0,1,1,0,1,95
239,7,0,2,0,1,0,91
240,9,1,2,0,1,-2,110
241,3,1,2,0,1,3,60
242,6,0,3,1,0,-6,101
243,7,0,0,1,0,-6,99
244,4,0,0,0,1,5,88
245,7,0,2,1,0,0,90
246,7,0,4,0,1,1,100
247,7,0,1,1,0,0,114
248,6,0,0,2,0,0,116
249,7,0,0,1,0,-3,87
250,5,0,3,1,0,4,51
251,7,0,1,0,2,-2,96
252,4,0,2,1,0,1,57
253,5,0,0,0,2,5,87
254,8,0,2,2,0,-6,108
255,7,0,1,1,1,1,96
256,7,2,2,0,2,0,92
257,7,1,0,0,1,0,116
258,6,0,2,0,1,1,112
259,6,0,0,0,1,1,68
260,7,0,4,0,1,-5,97
261,6,0,1,0,1,1,94
262,4,0,1,1,0,3,68
263,2,0,0,1,0,0,32
264,7,0,2,0,1,-2,88
265,7,0,1,1,0,2,89
266,7,0,4,0,1,-2,90
267,7,2,2,0,4,-2,97
268,6,0,1,1,1,2,95
269,6,0,1,2,0,1,110
270,6,0,2,0,1,-1,101
271,7,0,3,1,0,-2,116
272,6,1,4,0,1,-1,84
273,4,2,1,0,1,3,92
274,7,0,1,1,0,-2,96
275,8,0,0,0,2,2,108
276,8,0,4,0,1,-2,94
277,7,0,1,0,1,1,96
278,5,0,4,0,1,-1,70
279,7,0,1,1,0,-1,123
280,6,0,0,2,0,-1,98
281,3,1,1,1,2,3,69
282,6,0,4,0,1,-7,79
283,7,0,2,1,0,0,101
284,7,0,2,1,0,0,99
285,5,0,1,1,0,2,70
286,5,0,2,1,0,-2,60
287,7,0,2,1,0,1,113
288,6,2,0,0,2,-4,80
289,7,0,0,1,0,2,98
290,7,0,2,1,0,-1,108
291,7,0,0,1,0,-2,84
292,4,0,0,1,0,4,90
293,4,0,4,0,1,2,67
294,3,2,2,0,2,-4,63
295,7,0,0,1,0,-3,95
296,6,0,1,0,1,3,102
297,6,0,3,1,0,0,114
298,7,0,3,0,1,1,86
299,7,0,1,1,0,6,108
300,7,0,0,1,0,-6,101
301,7,0,1,1,0,-2,97
302,4,0,0,0,1,4,79
303,6,0,2,1,0,5,107
304,6,0,0,1,0,-4,85
305,4,0,1,1,0,4,75
306,8,0,2,1,0,-4,90
307,7,0,1,1,0,3,91
308,7,0,4,0,1,-3,107
309,5,1,1,0,1,4,101
310,6,0,1,1,0,-7,90
311,7,0,0,1,1,-3,98
312,6,0,2,1,0,3,113
313,6,0,4,0,1,-1,98
314,5,0,0,1,0,3,110
315,7,0,4,0,1,1,83
316,7,0,2,1,0,-1,89
317,7,0,2,1,0,-2,108
318,6,0,2,1,0,4,98
319,6,0,3,0,1,-8,90
320,3,1,2,0,2,5,60
321,7,0,0,0,1,-3,119
322,7,0,0,1,0,3,124
323,8,0,2,0,1,1,103
324,7,0,3,1,0,-1,111
325,7,0,1,1,0,1,103
326,7,0,1,0,1,-1,89
327,6,2,3,0,4,-2,99
328,5,0,3,0,1,0,84
329,7,0,1,0,1,-2,112
330,7,0,1,1,0,-1,124
331,5,1,3,0,1,3,73
332,7,0,2,1,0,-4,101
333,7,0,4,0,1,-1,104
334,6,0,2,1,0,1,79
335,7,0,0,1,0,3,103
336,8,0,1,1,1,-3,95
337,4,0,2,1,0,-3,78
338,4,1,1,0,4,4,83
339,7,0,1,1,0,-2,96
340,5,0,1,1,0,2,84
341,8,0,2,1,0,-3,107
342,7,0,2,1,0,3,114
343,6,0,1,1,1,-9,89
344,4,0,4,0,1,6,91
345,4,0,3,1,0,2,69
346,5,0,4,0,1,-1,68
347,6,0,1,1,1,-6,99
348,5,0,4,0,1,6,74
349,6,0,0,1,0,0,95
350,5,0,0,1,0,0,95
351,7,0,3,1,0,0,120
352,6,0,2,1,0,2,110
353,6,0,0,1,0,1,88
354,7,1,2,0,1,0,91
355,6,0,1,1,0,-2,66
356,7,0,2,1,0,3,106
357,5,0,0,1,0,-2,93
358,2,0,3,0,1,2,43
359,7,0,0,1,0,-1,113
360,7,0,1,1,0,1,88
361,7,0,0,1,0,-1,109
362,7,0,0,1,0,1,97
363,6,1,3,1,1,-3,64
364,5,0,4,0,1,3,89
365,6,0,3,0,2,1,93
366,6,0,0,1,0,-3,95
367,2,1,0,0,1,2,48
368,6,1,1,0,4,-3,76
369,5,0,0,1,0,-4,97
370,4,0,0,0,1,4,74
371,5,0,0,1,0,2,94
372,6,1,0,0,1,-2,68
373,6,2,2,0,4,2,80
374,6,0,3,1,0,-4,74
375,2,0,0,1,0,4,43
376,6,0,2,0,1,-1,82
377,7,0,3,1,0,-6,90
378,5,1,1,0,1,6,66
379,5,0,4,0,1,1,84
380,8,0,0,0,3,-3,91
381,8,0,0,0,1,1,115
382,7,0,0,0,1,1,103
383,8,0,1,1,0,-5,102
384,7,0,1,2,0,-2,107
385,6,1,0,0,1,1,110
386,3,0,0,0,1,2,83
387,7,0,2,1,0,0,112
388,8,0,3,1,0,-3,114
389,7,0,1,1,0,0,112
390,8,0,0,0,1,0,108
391,7,0,2,1,0,3,128
392,8,0,2,0,1,-3,113
393,6,0,0,1,0,-5,82
394,4,0,3,1,1,5,86
395,6,0,2,1,0,-1,95
396,8,1,0,0,1,1,107
397,7,0,0,1,0,-1,85
398,6,0,1,1,0,2,89
399,6,0,3,0,1,-1,103
400,5,0,1,1,1,-3,84
401,6,0,2,1,0,3,112
402,6,0,1,1,0,1,97
403,7,0,2,1,0,-1,84
404,7,0,1,1,0,-1,89
405,7,0,3,1,0,2,100
406,8,0,2,1,0,1,101
407,8,0,1,1,0,0,97
408,2,2,2,0,1,0,38
409,4,0,4,0,1,-4,64
410,8,1,2,0,2,-1,98
411,7,0,4,0,1,1,84
412,5,0,0,2,0,-1,89
413,5,1,1,0,2,1,94
414,5,0,2,0,1,0,76
415,7,0,4,0,1,-4,98
416,6,0,0,1,0,3,82
417,5,0,0,1,0,-3,99
418,2,0,4,0,1,2,30
419,6,0,1,1,0,0,90
420,7,0,0,1,0,-1,93
421,7,0,4,0,1,1,90
422,7,0,0,0,1,-2,83
423,7,0,2,1,0,2,117
424,5,0,1,1,0,5,71
425,7,0,0,1,0,-6,90
426,7,2,1,0,4,-5,89
427,5,1,2,0,1,4,71
428,7,1,1,0,2,-2,88
429,6,0,0,1,0,2,82
430,7,0,2,1,0,0,123
431,6,0,0,1,0,0,101
432,6,0,1,1,0,-7,72
433,5,0,0,2,0,7,92
434,7,1,3,0,3,0,112
435,8,0,0,1,0,-2,113
436,6,0,0,1,0,1,106
437,6,0,2,1,0,0,105
438,7,0,3,1,0,1,108
439,8,0,1,1,0,-2,102
440,8,0,2,0,1,1,99
441,8,0,2,1,0,-2,86
442,6,0,2,0,1,1,78
443,6,0,2,1,0,-6,99
444,6,0,2,1,0,-5,100
445,3,0,0,0,2,6,71
446,7,0,1,1,1,0,109
447,8,0,0,0,1,2,81
448,6,0,2,1,0,-5,83
449,4,0,1,1,0,6,76
450,5,0,4,0,1,-2,96
451,6,0,2,0,1,-2,86
452,5,0,3,1,0,1,90
453,7,0,2,1,0,0,85
454,5,0,0,1,0,4,84
455,8,0,1,1,0,-3,98
456,6,0,1,1,1,0,102
457,6,0,0,1,0,2,75
458,6,0,1,0,1,-2,92
459,5,0,4,0,1,-1,79
460,6,0,1,1,0,5,114
461,5,0,1,1,0,-1,106
462,3,0,1,1,0,4,80
463,7,0,3,1,0,-1,87
464,7,0,0,1,0,1,102
465,6,0,2,1,0,-1,82
466,8,0,1,1,0,0,112
467,9,1,1,0,2,0,121
468,6,0,4,0,1,1,98
469,6,0,1,0,1,-1,103
470,4,1,0,0,1,-5,68
471,2,0,2,0,1,3,60
472,6,0,2,1,0,4,97
473,7,1,1,0,2,-5,76
474,7,0,0,1,0,-5,90
475,6,2,2,0,4,3,98
476,6,1,2,0,1,2,99
477,6,0,2,1,0,-8,89
478,7,0,2,1,0,0,86
479,6,0,1,1,0,0,95
480,5,0,3,1,0,0,75
481,5,0,1,2,0,2,74
482,5,0,3,2,0,-2,64
483,5,0,3,1,0,2,95
484,4,0,0,0,1,5,82
485,6,0,1,1,0,-8,96
486,5,0,1,1,0,0,86
487,6,0,2,1,0,-1,78
488,4,0,3,1,0,5,79
489,5,0,1,1,0,-6,72
490,7,0,4,0,1,-6,97
491,3,0,1,1,1,6,66
492,5,0,1,1,0,-2,75
493,6,0,1,1,0,-2,83
494,6,0,3,0,2,-2,73
495,6,0,4,0,1,-4,107
496,6,0,3,1,0,3,105
497,8,0,1,1,0,-2,86
